Beginning training
global_step=651650, episodic_return=445.81
global_step=652651, episodic_return=451.98
global_step=653652, episodic_return=406.25
global_step=654653, episodic_return=432.97
SPS: 642
global_step=655654, episodic_return=336.11
global_step=656655, episodic_return=294.80
global_step=657656, episodic_return=218.91
global_step=658657, episodic_return=414.81
global_step=659658, episodic_return=419.84
global_step=660659, episodic_return=415.30
global_step=661660, episodic_return=449.91
global_step=662661, episodic_return=411.49
SPS: 642
global_step=663662, episodic_return=452.29
global_step=664663, episodic_return=447.17
global_step=665664, episodic_return=398.39
global_step=666665, episodic_return=436.54
global_step=667666, episodic_return=216.51
global_step=668667, episodic_return=473.28
global_step=669668, episodic_return=427.84
global_step=670669, episodic_return=470.49
global_step=671670, episodic_return=453.18
SPS: 642
global_step=672671, episodic_return=185.99
global_step=673672, episodic_return=444.48
global_step=674673, episodic_return=389.49
global_step=675674, episodic_return=457.48
global_step=676675, episodic_return=419.36
global_step=677676, episodic_return=299.08
global_step=678677, episodic_return=266.18
global_step=679678, episodic_return=449.13
SPS: 642
global_step=680679, episodic_return=245.81
global_step=681680, episodic_return=408.66
global_step=682681, episodic_return=307.16
global_step=683682, episodic_return=137.36
global_step=684683, episodic_return=60.37
global_step=685684, episodic_return=430.87
global_step=686685, episodic_return=441.36
global_step=687686, episodic_return=201.96
SPS: 642
global_step=688687, episodic_return=443.40
global_step=689688, episodic_return=465.65
global_step=690689, episodic_return=454.08
global_step=691690, episodic_return=459.34
global_step=692691, episodic_return=463.39
global_step=693692, episodic_return=471.24
global_step=694693, episodic_return=189.62
global_step=695694, episodic_return=388.27
SPS: 642
global_step=696695, episodic_return=290.05
global_step=697696, episodic_return=415.90
global_step=698697, episodic_return=459.31
global_step=699698, episodic_return=433.68
global_step=700699, episodic_return=442.47
global_step=701700, episodic_return=392.57
global_step=702701, episodic_return=416.16
global_step=703702, episodic_return=349.09
SPS: 642
global_step=704703, episodic_return=346.19
global_step=705704, episodic_return=459.51
global_step=706705, episodic_return=448.65
global_step=707706, episodic_return=465.57
global_step=708707, episodic_return=405.18
global_step=709708, episodic_return=444.73
global_step=710709, episodic_return=436.11
global_step=711710, episodic_return=449.61
SPS: 642
global_step=712711, episodic_return=464.57
global_step=713712, episodic_return=464.18
global_step=714713, episodic_return=376.55
global_step=715714, episodic_return=479.24
global_step=716715, episodic_return=446.08
global_step=717716, episodic_return=73.94
global_step=718717, episodic_return=437.83
global_step=719718, episodic_return=457.24
global_step=720719, episodic_return=456.19
SPS: 642
global_step=721720, episodic_return=427.08
global_step=722721, episodic_return=418.14
global_step=723722, episodic_return=273.50
global_step=724723, episodic_return=472.32
global_step=725724, episodic_return=453.88
global_step=726725, episodic_return=441.02
global_step=727726, episodic_return=454.65
global_step=728727, episodic_return=441.00
SPS: 642
global_step=729728, episodic_return=51.38
global_step=730729, episodic_return=451.08
global_step=731730, episodic_return=464.99
global_step=732731, episodic_return=472.09
global_step=733732, episodic_return=442.28
global_step=734733, episodic_return=416.91
global_step=735734, episodic_return=456.62
global_step=736735, episodic_return=467.35
SPS: 642
global_step=737736, episodic_return=428.12
global_step=738737, episodic_return=469.04
global_step=739738, episodic_return=475.11
global_step=740739, episodic_return=426.58
global_step=741740, episodic_return=476.60
global_step=742741, episodic_return=455.25
global_step=743742, episodic_return=458.13
global_step=744743, episodic_return=467.00
SPS: 642
global_step=745744, episodic_return=455.66
global_step=746745, episodic_return=433.95
global_step=747746, episodic_return=490.02
global_step=748747, episodic_return=448.48
global_step=749748, episodic_return=461.81
global_step=750749, episodic_return=462.96
global_step=751750, episodic_return=433.05
global_step=752751, episodic_return=479.46
SPS: 642
global_step=753752, episodic_return=464.30
global_step=754753, episodic_return=474.67
global_step=755754, episodic_return=474.00
global_step=756755, episodic_return=460.86
global_step=757756, episodic_return=484.22
global_step=758757, episodic_return=466.88
global_step=759758, episodic_return=453.72
global_step=760759, episodic_return=461.25
global_step=761760, episodic_return=284.72
SPS: 642
global_step=762761, episodic_return=468.40
global_step=763762, episodic_return=485.98
global_step=764763, episodic_return=465.57
global_step=765764, episodic_return=462.90
global_step=766765, episodic_return=481.96
global_step=767766, episodic_return=403.91
global_step=768767, episodic_return=478.10
global_step=769768, episodic_return=478.23
SPS: 642
global_step=770769, episodic_return=505.04
global_step=771770, episodic_return=465.81
global_step=772771, episodic_return=420.42
global_step=773772, episodic_return=458.25
global_step=774773, episodic_return=466.71
global_step=775774, episodic_return=494.34
global_step=776775, episodic_return=499.04
global_step=777776, episodic_return=487.46
SPS: 642
global_step=778777, episodic_return=503.71
global_step=779778, episodic_return=490.65
global_step=780779, episodic_return=341.29
global_step=781780, episodic_return=303.26
global_step=782781, episodic_return=423.45
