Beginning training
global_step=584583, episodic_return=730.20
global_step=585584, episodic_return=721.85
global_step=586585, episodic_return=702.10
global_step=587586, episodic_return=694.56
global_step=588587, episodic_return=681.55
global_step=589588, episodic_return=725.67
SPS: 129
global_step=590589, episodic_return=660.17
global_step=591590, episodic_return=709.26
global_step=592591, episodic_return=710.10
global_step=593592, episodic_return=707.14
global_step=594593, episodic_return=708.10
global_step=595594, episodic_return=696.64
global_step=596595, episodic_return=675.52
global_step=597596, episodic_return=692.26
SPS: 129
global_step=598597, episodic_return=676.82
global_step=599598, episodic_return=687.98
global_step=600599, episodic_return=708.46
global_step=601600, episodic_return=703.41
global_step=602601, episodic_return=693.01
global_step=603602, episodic_return=692.21
global_step=604603, episodic_return=670.41
global_step=605604, episodic_return=682.93
SPS: 129
global_step=606605, episodic_return=720.26
global_step=607606, episodic_return=691.08
global_step=608607, episodic_return=706.95
global_step=609608, episodic_return=688.43
global_step=610609, episodic_return=700.87
global_step=611610, episodic_return=698.22
global_step=612611, episodic_return=701.87
global_step=613612, episodic_return=697.19
SPS: 129
global_step=614613, episodic_return=697.96
global_step=615614, episodic_return=703.76
global_step=616615, episodic_return=691.74
global_step=617616, episodic_return=701.78
global_step=618617, episodic_return=676.01
global_step=619618, episodic_return=698.83
global_step=620619, episodic_return=683.67
global_step=621620, episodic_return=685.55
SPS: 129
global_step=622621, episodic_return=702.51
global_step=623622, episodic_return=707.37
global_step=624623, episodic_return=503.67
global_step=625624, episodic_return=309.79
global_step=626625, episodic_return=703.25
global_step=627626, episodic_return=715.03
global_step=628627, episodic_return=628.16
global_step=629628, episodic_return=603.53
global_step=630629, episodic_return=710.43
SPS: 129
global_step=631630, episodic_return=229.55
global_step=632631, episodic_return=690.33
global_step=633632, episodic_return=606.04
global_step=634633, episodic_return=694.57
global_step=635634, episodic_return=707.49
global_step=636635, episodic_return=232.51
global_step=637636, episodic_return=675.07
global_step=638637, episodic_return=711.29
SPS: 129
global_step=639638, episodic_return=693.34
global_step=640639, episodic_return=679.03
global_step=641640, episodic_return=687.15
global_step=642641, episodic_return=698.92
global_step=643642, episodic_return=703.33
global_step=644643, episodic_return=314.50
global_step=645644, episodic_return=234.20
global_step=646645, episodic_return=714.66
SPS: 129
global_step=647646, episodic_return=703.22
global_step=648647, episodic_return=719.47
global_step=649648, episodic_return=724.76
global_step=650649, episodic_return=704.53
global_step=651650, episodic_return=716.82
global_step=652651, episodic_return=606.34
global_step=653652, episodic_return=719.62
global_step=654653, episodic_return=622.13
SPS: 130
global_step=655654, episodic_return=719.66
global_step=656655, episodic_return=708.86
global_step=657656, episodic_return=415.90
global_step=658657, episodic_return=714.49
global_step=659658, episodic_return=693.38
global_step=660659, episodic_return=708.42
global_step=661660, episodic_return=709.15
global_step=662661, episodic_return=698.81
SPS: 130
global_step=663662, episodic_return=682.17
global_step=664663, episodic_return=702.89
global_step=665664, episodic_return=701.93
global_step=666665, episodic_return=711.01
global_step=667666, episodic_return=704.95
global_step=668667, episodic_return=709.94
global_step=669668, episodic_return=700.95
global_step=670669, episodic_return=700.20
global_step=671670, episodic_return=704.60
SPS: 129
global_step=672671, episodic_return=706.21
global_step=673672, episodic_return=719.86
global_step=674673, episodic_return=696.74
global_step=675674, episodic_return=704.69
global_step=676675, episodic_return=691.12
global_step=677676, episodic_return=694.88
global_step=678677, episodic_return=695.61
global_step=679678, episodic_return=709.83
SPS: 129
global_step=680679, episodic_return=697.09
global_step=681680, episodic_return=271.57
global_step=682681, episodic_return=698.71
global_step=683682, episodic_return=719.93
global_step=684683, episodic_return=698.18
global_step=685684, episodic_return=707.74
global_step=686685, episodic_return=570.17
global_step=687686, episodic_return=340.55
SPS: 129
global_step=688687, episodic_return=700.98
global_step=689688, episodic_return=687.49
global_step=690689, episodic_return=676.96
global_step=691690, episodic_return=697.71
global_step=692691, episodic_return=694.77
global_step=693692, episodic_return=377.17
global_step=694693, episodic_return=201.02
global_step=695694, episodic_return=709.24
SPS: 128
global_step=696695, episodic_return=715.84
global_step=697696, episodic_return=335.36
global_step=698697, episodic_return=698.92
global_step=699698, episodic_return=688.69
global_step=700699, episodic_return=685.47
global_step=701700, episodic_return=700.42
global_step=702701, episodic_return=704.33
global_step=703702, episodic_return=683.95
SPS: 128
global_step=704703, episodic_return=655.85
global_step=705704, episodic_return=641.78
global_step=706705, episodic_return=530.63
global_step=707706, episodic_return=695.31
global_step=708707, episodic_return=695.63
global_step=709708, episodic_return=624.12
global_step=710709, episodic_return=695.96
global_step=711710, episodic_return=671.80
SPS: 128
global_step=712711, episodic_return=671.93
global_step=713712, episodic_return=710.48
global_step=714713, episodic_return=691.44
global_step=715714, episodic_return=716.89
global_step=716715, episodic_return=715.99
global_step=717716, episodic_return=707.39
global_step=718717, episodic_return=588.22
global_step=719718, episodic_return=709.97
global_step=720719, episodic_return=689.17
SPS: 128
global_step=721720, episodic_return=708.11
global_step=722721, episodic_return=696.54
global_step=723722, episodic_return=704.71
global_step=724723, episodic_return=630.18
global_step=725724, episodic_return=715.23
global_step=726725, episodic_return=698.97
global_step=727726, episodic_return=685.81
global_step=728727, episodic_return=680.91
SPS: 128
global_step=729728, episodic_return=721.92
global_step=730729, episodic_return=697.69
global_step=731730, episodic_return=723.08
global_step=732731, episodic_return=711.10
global_step=733732, episodic_return=715.97
global_step=734733, episodic_return=717.81
global_step=735734, episodic_return=693.56
global_step=736735, episodic_return=709.52
SPS: 127
global_step=737736, episodic_return=714.49
global_step=738737, episodic_return=704.83
global_step=739738, episodic_return=708.77
global_step=740739, episodic_return=712.17
global_step=741740, episodic_return=720.51
global_step=742741, episodic_return=721.71
global_step=743742, episodic_return=711.63
global_step=744743, episodic_return=709.95
SPS: 127
global_step=745744, episodic_return=703.56
global_step=746745, episodic_return=721.16
global_step=747746, episodic_return=722.69
global_step=748747, episodic_return=721.20
global_step=749748, episodic_return=724.38
global_step=750749, episodic_return=729.29
global_step=751750, episodic_return=707.27
global_step=752751, episodic_return=719.75
SPS: 126
global_step=753752, episodic_return=720.45
global_step=754753, episodic_return=723.94
global_step=755754, episodic_return=724.99
global_step=756755, episodic_return=727.12
global_step=757756, episodic_return=722.70
global_step=758757, episodic_return=721.30
global_step=759758, episodic_return=713.63
global_step=760759, episodic_return=722.44
global_step=761760, episodic_return=664.19
SPS: 126
global_step=762761, episodic_return=726.73
global_step=763762, episodic_return=723.71
global_step=764763, episodic_return=726.15
global_step=765764, episodic_return=717.37
global_step=766765, episodic_return=722.06
global_step=767766, episodic_return=576.44
global_step=768767, episodic_return=729.14
global_step=769768, episodic_return=725.45
SPS: 126
global_step=770769, episodic_return=721.08
global_step=771770, episodic_return=726.34
global_step=772771, episodic_return=728.79
global_step=773772, episodic_return=719.77
global_step=774773, episodic_return=722.80
global_step=775774, episodic_return=709.54
global_step=776775, episodic_return=718.79
global_step=777776, episodic_return=708.62
SPS: 126
global_step=778777, episodic_return=704.30
global_step=779778, episodic_return=706.20
global_step=780779, episodic_return=721.34
global_step=781780, episodic_return=713.66
global_step=782781, episodic_return=720.34
